Date,Time,Temperature,hour
2019-01-01,00:26:12,8.891,0
2019-01-01,00:56:12,8.891,1
2019-01-01,01:26:12,8.866,1
2019-01-01,01:56:12,8.866,2
2019-01-01,02:26:12,8.817,2
2019-01-01,02:56:12,8.792,3
2019-01-01,03:26:12,8.767,3
2019-01-01,03:56:12,8.742,4
2019-01-01,04:26:12,8.742,4
2019-01-01,04:56:12,8.767,5
2019-01-01,05:26:12,8.792,5
2019-01-01,05:56:12,8.817,6
2019-01-01,06:26:12,8.817,6
2019-01-01,06:56:12,8.817,7
2019-01-01,07:26:12,8.817,7
2019-01-01,07:56:12,8.817,8
2019-01-01,08:26:12,8.817,8
2019-01-01,08:56:12,8.817,9
2019-01-01,09:26:12,8.817,9
2019-01-01,09:56:12,8.841,10
2019-01-01,10:26:12,8.866,10
2019-01-01,10:56:12,8.916,11
2019-01-01,11:26:12,8.99,11
2019-01-01,11:56:12,9.089,12
2019-01-01,12:26:12,9.139,12
2019-01-01,12:56:12,9.238,13
2019-01-01,13:26:12,9.287,13
2019-01-01,13:56:12,9.312,14
2019-01-01,14:26:12,9.336,14
2019-01-01,14:56:12,9.336,15
2019-01-01,15:26:12,9.336,15
2019-01-01,15:56:12,9.312,16
2019-01-01,16:26:12,9.262,16
2019-01-01,16:56:12,9.238,17
2019-01-01,17:26:12,9.213,17
2019-01-01,17:56:12,9.188,18
2019-01-01,18:26:12,9.139,18
2019-01-01,18:56:12,9.114,19
2019-01-01,19:26:12,9.04,19
2019-01-01,19:56:12,8.99,20
2019-01-01,20:26:12,8.941,20
2019-01-01,20:56:12,8.916,21
2019-01-01,21:26:12,8.891,21
2019-01-01,21:56:12,8.866,22
2019-01-01,22:26:12,8.841,22
2019-01-01,22:56:12,8.792,23
2019-01-01,23:26:12,8.767,23
2019-01-01,23:56:12,8.693,0
2019-01-02,00:26:12,8.643,0
2019-01-02,00:56:12,8.568,1
2019-01-02,01:26:12,8.519,1
2019-01-02,01:56:12,8.444,2
2019-01-02,02:26:12,8.394,2
2019-01-02,02:56:12,8.319,3
2019-01-02,03:26:12,8.27,3
2019-01-02,03:56:12,8.17,4
2019-01-02,04:26:12,8.095,4
2019-01-02,04:56:12,8.02,5
2019-01-02,05:26:12,7.97,5
2019-01-02,05:56:12,7.92,6
2019-01-02,06:26:12,7.895,6
2019-01-02,06:56:12,7.845,7
2019-01-02,07:26:12,7.82,7
2019-01-02,07:56:12,7.77,8
2019-01-02,08:26:12,7.745,8
2019-01-02,08:56:12,7.72,9
2019-01-02,09:26:12,7.67,9
2019-01-02,09:56:12,7.67,10
2019-01-02,10:26:12,7.67,10
2019-01-02,10:56:12,7.695,11
2019-01-02,11:26:12,7.695,11
2019-01-02,11:56:12,7.745,12
2019-01-02,12:26:12,7.795,12
2019-01-02,12:56:12,7.82,13
2019-01-02,13:26:12,7.87,13
2019-01-02,13:56:12,7.87,14
2019-01-02,14:26:12,7.87,14
2019-01-02,14:56:12,7.895,15
2019-01-02,15:26:12,7.92,15
2019-01-02,15:56:12,7.92,16
2019-01-02,16:26:12,7.92,16
2019-01-02,16:56:12,7.87,17
2019-01-02,17:26:12,7.845,17
2019-01-02,17:56:12,7.795,18
2019-01-02,18:26:12,7.795,18
2019-01-02,18:56:12,7.82,19
2019-01-02,19:26:12,7.82,19
2019-01-02,19:56:12,7.845,20
2019-01-02,20:26:12,7.845,20
2019-01-02,20:56:12,7.845,21
2019-01-02,21:26:12,7.82,21
2019-01-02,21:56:12,7.82,22
2019-01-02,22:26:12,7.795,22
2019-01-02,22:56:12,7.77,23
2019-01-02,23:26:12,7.77,23
2019-01-02,23:56:12,7.72,0
2019-01-03,00:26:12,7.72,0
2019-01-03,00:56:12,7.72,1
2019-01-03,01:26:12,7.72,1
2019-01-03,01:56:12,7.695,2
2019-01-03,02:26:12,7.695,2
2019-01-03,02:56:12,7.67,3
2019-01-03,03:26:12,7.645,3
2019-01-03,03:56:12,7.645,4
2019-01-03,04:26:12,7.619,4
2019-01-03,04:56:12,7.619,5
2019-01-03,05:26:12,7.619,5
2019-01-03,05:56:12,7.569,6
2019-01-03,06:26:12,7.544,6
2019-01-03,06:56:12,7.519,7
2019-01-03,07:26:12,7.494,7
2019-01-03,07:56:12,7.469,8
2019-01-03,08:26:12,7.469,8
2019-01-03,08:56:12,7.444,9
2019-01-03,09:26:12,7.469,9
2019-01-03,09:56:12,7.469,10
2019-01-03,10:26:12,7.519,10
2019-01-03,10:56:12,7.544,11
2019-01-03,11:26:12,7.619,11
2019-01-03,11:56:12,7.72,12
2019-01-03,12:26:12,7.795,12
2019-01-03,12:56:12,7.87,13
2019-01-03,13:26:12,7.92,13
2019-01-03,13:56:12,7.945,14
2019-01-03,14:26:12,7.995,14
2019-01-03,14:56:12,7.995,15
2019-01-03,15:26:12,7.995,15
2019-01-03,15:56:12,7.97,16
2019-01-03,16:26:12,7.945,16
2019-01-03,16:56:12,7.92,17
2019-01-03,17:26:12,7.87,17
2019-01-03,17:56:12,7.87,18
2019-01-03,18:26:12,7.845,18
2019-01-03,18:56:12,7.845,19
2019-01-03,19:26:12,7.82,19
2019-01-03,19:56:12,7.795,20
2019-01-03,20:26:12,7.72,20
2019-01-03,20:56:12,7.67,21
2019-01-03,21:26:12,7.594,21
2019-01-03,21:56:12,7.544,22
2019-01-03,22:26:12,7.444,22
2019-01-03,22:56:12,7.393,23
2019-01-03,23:26:12,7.318,23
2019-01-03,23:56:12,7.293,0
2019-01-04,00:26:12,7.242,0
2019-01-04,00:56:12,7.217,1
2019-01-04,01:26:12,7.192,1
2019-01-04,01:56:12,7.167,2
2019-01-04,02:26:12,7.142,2
2019-01-04,02:56:12,7.116,3
2019-01-04,03:26:12,7.066,3
2019-01-04,03:56:12,7.041,4
2019-01-04,04:26:12,6.99,4
2019-01-04,04:56:12,6.965,5
2019-01-04,05:26:12,6.94,5
2019-01-04,05:56:12,6.914,6
2019-01-04,06:26:12,6.889,6
2019-01-04,06:56:12,6.864,7
2019-01-04,07:26:12,6.864,7
2019-01-04,07:56:12,6.864,8
2019-01-04,08:26:12,6.864,8
2019-01-04,08:56:12,6.864,9
2019-01-04,09:26:12,6.839,9
2019-01-04,09:56:12,6.813,10
2019-01-04,10:26:12,6.813,10
2019-01-04,10:56:12,6.813,11
2019-01-04,11:26:12,6.839,11
2019-01-04,11:56:12,6.889,12
2019-01-04,12:26:12,6.94,12
2019-01-04,12:56:12,6.99,13
2019-01-04,13:26:12,7.041,13
2019-01-04,13:56:12,7.091,14
2019-01-04,14:26:12,7.116,14
2019-01-04,14:56:12,7.142,15
2019-01-04,15:26:12,7.116,15
2019-01-04,15:56:12,7.066,16
2019-01-04,16:26:12,7.015,16
2019-01-04,16:56:12,6.94,17
2019-01-04,17:26:12,6.864,17
2019-01-04,17:56:12,6.813,18
2019-01-04,18:26:12,6.763,18
